行业代码,行业名称,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
801010.SI,农林牧渔,104,23.54,22.54,2.47,1.95
801030.SI,基础化工,408,33.15,30.42,2.85,1.34
801040.SI,钢铁,44,32.86,25.85,1.37,1.76
801050.SI,有色金属,138,41.29,33.15,4.67,1.05
801080.SI,电子,477,75.18,62.96,5.72,0.56
801880.SI,汽车,283,27.22,26.55,2.62,1.58
801110.SI,家用电器,94,16.49,15.34,2.59,3.77
801120.SI,食品饮料,124,19.78,20.45,4.25,4.02
801130.SI,纺织服饰,105,20.59,21.27,1.92,3.38
801140.SI,轻工制造,158,24.92,25.52,2.48,2.18
801150.SI,医药生物,480,29.47,28.77,2.73,1.62
801160.SI,公用事业,131,18.73,18.21,1.79,2.75
801170.SI,交通运输,127,14.21,15.16,1.29,3.32
801180.SI,房地产,100,26.29,29.77,1.01,1.6
801200.SI,商贸零售,97,33.04,35.73,2.23,1.63
801210.SI,社会服务,81,37.18,38.66,2.91,1.43
801780.SI,银行,42,6.61,6.52,0.64,5.82
801790.SI,非银金融,82,14.81,11.05,1.47,2.1
801230.SI,综合,15,102.51,67.64,3.35,0.55
801710.SI,建筑材料,72,32.43,27.4,1.81,2.52
801720.SI,建筑装饰,156,9.39,10.23,0.8,2.65
801730.SI,电力设备,365,41.23,35.89,3.85,1.16
801890.SI,机械设备,531,40.65,37.29,3.29,1.21
801740.SI,国防军工,141,99.16,91.84,4.65,0.47
801750.SI,计算机,335,63.54,56.8,4.91,0.94
801760.SI,传媒,129,34.96,29.21,2.63,1.92
801770.SI,通信,124,27.09,25.09,2.47,2.52
801950.SI,煤炭,37,12.85,16.52,1.7,5.59
801960.SI,石油石化,47,14.11,15.57,1.51,3.55
801970.SI,环保,133,26.18,26.65,1.8,1.75
801980.SI,美容护理,29,30.81,34.69,3.23,1.9
