名称,综合强度
电力行业,99.53488372093022
化学制药,97.90697674418605
生物制品,97.67441860465115
石油行业,91.62790697674419
煤炭行业,87.90697674418604
医疗器械,84.88372093023256
电子化学品,84.41860465116278
农药兽药,83.02325581395348
多元金融,82.32558139534885
化学制品,82.32558139534883
风电设备,82.09302325581396
采掘行业,79.06976744186046
航运港口,78.37209302325581
航空机场,77.44186046511628
医疗服务,77.32558139534885
化肥行业,76.51162790697674
农牧饲渔,74.88372093023256
铁路公路,73.72093023255815
汽车整车,73.48837209302326
公用事业,73.48837209302326
旅游酒店,70.23255813953487
中药,70.0
保险,67.67441860465117
燃气,67.32558139534883
包装材料,66.04651162790697
医药商业,63.48837209302326
银行,63.25581395348837
工程建设,62.325581395348834
化纤行业,62.20930232558139
化学原料,61.86046511627907
